Time(t),Acceleration(a),Velocity(v),Height(x)
0.02,-0.075,-0.002,0.150
0.04,-0.075,-0.003,0.150
0.06,-0.075,-0.004,0.150
0.08,-0.075,-0.006,0.150
0.10,-0.075,-0.007,0.150
0.12,-0.075,-0.009,0.149
0.14,-0.075,-0.010,0.149
0.16,-0.075,-0.012,0.149
0.18,-0.075,-0.013,0.149
0.20,-0.074,-0.015,0.149
0.22,-0.074,-0.016,0.148
0.24,-0.074,-0.018,0.148
0.26,-0.074,-0.019,0.147
0.28,-0.074,-0.021,0.147
0.30,-0.074,-0.022,0.147
0.32,-0.073,-0.024,0.146
0.34,-0.073,-0.025,0.146
0.36,-0.073,-0.027,0.145
0.38,-0.073,-0.028,0.145
0.40,-0.072,-0.030,0.144
0.42,-0.072,-0.031,0.143
0.44,-0.072,-0.033,0.143
0.46,-0.071,-0.034,0.142
0.48,-0.071,-0.035,0.141
0.50,-0.071,-0.037,0.141
0.52,-0.070,-0.038,0.140
0.54,-0.070,-0.040,0.139
0.56,-0.070,-0.041,0.138
0.58,-0.069,-0.042,0.138
0.60,-0.069,-0.044,0.137
