Time(t),Acceleration(a),Velocity(v),Height(x)
0.20,-0.075,-0.015,0.149
0.40,-0.074,-0.030,0.144
0.60,-0.072,-0.044,0.137
0.80,-0.068,-0.058,0.126
1.00,-0.063,-0.071,0.114
1.20,-0.057,-0.082,0.098
1.40,-0.049,-0.092,0.081
1.60,-0.040,-0.100,0.062
1.80,-0.031,-0.106,0.041
2.00,-0.021,-0.110,0.020
2.20,-0.010,-0.112,-0.003
2.40,0.001,-0.112,-0.025
2.60,0.013,-0.109,-0.047
2.80,0.024,-0.105,-0.069
3.00,0.034,-0.098,-0.089
3.20,0.044,-0.089,-0.107
3.40,0.054,-0.078,-0.124
3.60,0.062,-0.066,-0.139
3.80,0.069,-0.052,-0.150
4.00,0.075,-0.037,-0.159
4.20,0.080,-0.021,-0.165
4.40,0.082,-0.004,-0.167
4.60,0.084,0.012,-0.167
4.80,0.083,0.029,-0.163
5.00,0.081,0.045,-0.155
5.20,0.078,0.061,-0.145
5.40,0.072,0.075,-0.131
5.60,0.065,0.088,-0.115
5.80,0.057,0.100,-0.096
6.00,0.048,0.109,-0.075
